0.81472,0.15761,0.65574,0.70605,0.50306,0.71368,0.62811,0.40653
0.90579,0.97059,0.035712,0.031833,0.97162,1.4143,0.63029,0.16651
0.12699,0.95717,0.84913,0.27692,0.55814,0.65251,1.1465,0.76538
0.91338,0.48538,0.93399,0.046171,0.71028,1.0292,0.87684,0.73984
0.63236,0.80028,0.67874,0.097132,0.73657,0.77758,0.90802,0.66143
0.09754,0.14189,0.75774,0.82346,0.1239,0.10664,0.69938,0.26746
0.2785,0.42176,0.74313,0.69483,0.34674,0.42301,0.83601,0.57635
0.54688,0.91574,0.39223,0.3171,0.75532,0.92654,0.85441,0.60626
0.95751,0.79221,0.65548,0.95022,0.89461,1.1988,1.0734,0.53519
0.96489,0.95949,0.17119,0.034446,0.98209,1.3481,0.70217,0.42789
